Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
...89..1..38.4.96...51....79..563..1...9..6..4...7..3..6..1..7...........1..5....,26,49,6,0,0,0,0,0,0,Easy,
.......15.9...5....72...........2..8...5489.7...3.7.5.98......32.4....8...37..42.,26,42,13,0,0,0,0,0,0,Easy,
1.5..8.637...53..18..7.....2.13..64.68.4..5....4.8..1..............24..6..7...4.5,29,37,13,2,0,2,0,2,0,Expert,
.2....6.44.6..8..11.76...2.8.......5...9...429......7.6..8.1..9..579..8......62..,28,36,17,0,0,0,0,0,0,Easy,
293.........263..16...4..5...85....6...6.9.....4..1...5.9....823...1.....8....1..,25,35,21,1,0,0,0,0,0,Intermediate,
..9.....5..1.789..8....2.1...5..328.7.8......2...9..........5.8.47..5..1...2..3..,25,47,9,0,0,0,0,0,0,Easy,
7.....6...9...24....3.5..19....4...6..........1.7......3..91..46...23..7521.6...3,26,55,0,0,0,0,0,0,0,Simple,
.....9.151..53.74.7.....2...9.65.......3.7.91..2...4...5.......9.....574.......62,26,99,19,3,0,7,0,8,10,Expert,
..35..4..2.4..8.1..7....38........6.....41...4..6........3.71...6.1..27.5...6....,24,48,26,0,1,2,1,3,2,Expert,
.......9349.5.1..2.2..3.1..............2..43....169......3.854...........6..5.8..,23,48,10,0,0,0,0,0,0,Easy,
.....92......1.......7..3.5.5......3...1..9......5.6.752.9...4.4.127.....7356...9,26,47,8,0,0,0,0,0,0,Easy,
..6.2...5......74...........4..32..8..567...493.......2..983.5.5.........8...729.,25,38,18,0,0,2,0,0,0,Intermediate,
.1....3.......2.......8.....5..1698.89.5..17.7....9..6..5.3.61..3.26.........87..,26,40,15,3,1,1,0,0,0,Intermediate,
...6.....2.5...........3.6......4..3136.95..4....2..5......1.4541..7..2..7.2...39,26,44,11,0,0,0,0,0,0,Easy,
543....2...7....89....4..7.9.....246....2.9..4..69..53.2...5...7..26.8..3........,27,46,7,3,0,0,0,1,0,Expert,
....3..96...1......2.6....379...82..8.1...57.........99.3....2.2...5.....68.1....,24,39,18,0,0,0,0,0,0,Easy,
........4.6.....8..9..5....4..176...7.6.........4.3..8..561.........8.39......5.7,22,47,12,0,0,0,0,0,0,Easy,
6...4.....4.7258..5.......9.6....1...84..7...1..5...72...4.1.2........9....672...,25,58,18,2,0,1,0,4,4,Expert,
932........17...3....6......2.5..6.965..7.32......1.5.54739..6.2..........6....9.,27,50,18,0,0,0,0,2,2,Expert,
2......8.7....4..1......7.4.....2138...85...2......6..53.2..47.....45...1.83.6..5,27,57,6,2,1,2,0,3,2,Expert,
36.5..9.......123..9..2.4.5..81.4.......8........53.....4.1.3.26....8.......39..4,26,49,6,0,0,0,0,0,0,Easy,
.9..7682....38......72..16.7824.9.....9.2......6..8.......4...6.4..1.9..2......3.,27,56,12,2,0,1,0,3,2,Expert,
8.....6...2.9..........1.....8...9..2.7.3..1531.759.2....1.....6..2983......672..,27,61,21,0,0,2,0,5,6,Expert,
.....47........653...........8..3.4........36..1.8.....17.4238..5481..2..2.5..4..,26,45,10,0,0,0,0,0,0,Easy,
.4..........1.5......7..1.......163.71..4..2....2......65........1.86..5428.3...6,24,51,18,1,0,0,0,3,2,Expert,
.7.81...3....5.4....87.29..73.2....4.....9....2..8...7..1.........5........4...52,23,48,10,0,0,0,0,0,0,Easy,
29.81.5..4...........2......82549...............321.....8.574.1.3...829..1....8.5,27,50,4,3,0,1,0,0,0,Intermediate,
5....46...61........95...71.576...828..45......2.9..1.7.......8..4..97....8......,26,44,11,0,0,0,0,0,0,Easy,
